14 июл. 2026 10:44:52,807 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@73c2a19
14 июл. 2026 10:47:37,509 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,4)
14 июл. 2026 10:47:37,676 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,5), value : {k
14 июл. 2026 10:47:37,676 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,5)
14 июл. 2026 10:47:37,830 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,6), value : {
14 июл. 2026 10:47:37,830 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,6)
14 июл. 2026 10:47:37,978 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,7), value : 
14 июл. 2026 10:47:37,983 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,7)
14 июл. 2026 10:47:39,402 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,8), value : Х
14 июл. 2026 10:47:39,408 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,8)
14 июл. 2026 10:47:39,845 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,9), value : Хл
14 июл. 2026 10:47:39,852 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,9)
14 июл. 2026 10:47:40,142 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,10), value : Хле
14 июл. 2026 10:47:40,150 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,10)
14 июл. 2026 10:47:40,267 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,11), value : Хлеб
14 июл. 2026 10:47:40,273 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,11)
14 июл. 2026 10:47:41,674 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 959, SID: name(p)]
14 июл. 2026 10:47:41,679 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 959, SID: name(p)]
14 июл. 2026 10:47:43,769 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 965, SID: price(p)]
14 июл. 2026 10:47:43,771 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 965, SID: price(p)]
14 июл. 2026 10:47:43,775 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:43,804 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[2028180791 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:43,805 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:43,805 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[2028180791 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:43,824 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 852, SID: _ADDFORMNEWSESSION_Main_products_p_Main_Product()]
14 июл. 2026 10:47:48,841 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[2028180791 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:49,366 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 861, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:47:49,370 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[228021733 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:49,390 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 861, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:47:50,935 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:50,958 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[228021733 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:50,958 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:50,958 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[228021733 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:53,843 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[2028180791 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:53,843 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[2028180791 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:54,030 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 861, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:47:54,035 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1677845233 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
