14 июл. 2026 10:45:17,007 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1740810838
14 июл. 2026 10:45:17,053 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1740810838
14 июл. 2026 10:45:17,327 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@766670227
14 июл. 2026 10:45:17,336 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@766670227
14 июл. 2026 10:45:17,511 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1497178273
14 июл. 2026 10:45:17,520 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1497178273
14 июл. 2026 10:45:17,690 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1262681998
14 июл. 2026 10:45:17,698 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1262681998
14 июл. 2026 10:45:17,799 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@696733925
14 июл. 2026 10:45:17,807 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@696733925
14 июл. 2026 10:45:17,909 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1261468733
14 июл. 2026 10:45:17,918 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1261468733
14 июл. 2026 10:46:09,918 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@212016298
14 июл. 2026 10:47:35,698 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1693172815
14 июл. 2026 10:47:35,705 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1693172815
14 июл. 2026 10:47:36,121 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1113249304
14 июл. 2026 10:47:36,128 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1113249304
14 июл. 2026 10:47:36,638 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@483856378
14 июл. 2026 10:47:36,646 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@483856378
14 июл. 2026 10:47:36,796 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@2054900747
14 июл. 2026 10:47:36,802 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2054900747
14 июл. 2026 10:47:37,979 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1028473878
14 июл. 2026 10:47:37,984 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1028473878
14 июл. 2026 10:47:39,403 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@10601926
14 июл. 2026 10:47:39,408 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@10601926
14 июл. 2026 10:47:39,845 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@165191519
14 июл. 2026 10:47:39,853 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@165191519
14 июл. 2026 10:47:40,143 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@939881323
14 июл. 2026 10:47:40,150 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@939881323
