14 июл. 2026 10:47:24,800  INFO PausableInvocationsLogger - Run invocation: [f: Main.product, m: gainedFocus, rq: 0]
14 июл. 2026 10:47:24,802  INFO PausableInvocationsLogger - Invocation [f: Main.product, m: gainedFocus, rq: 0] finished
14 июл. 2026 10:47:24,802  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.product, m: gainedFocus, rq: 0] for request #0
14 июл. 2026 10:47:27,426  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.product, m: executeEventAction, rq: 1] for request #1
14 июл. 2026 10:47:27,426  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.product, m: executeEventAction, rq: 1] for request #1
14 июл. 2026 10:47:27,426  INFO PausableInvocationsLogger - Run invocation: [f: Main.product, m: executeEventAction, rq: 1]
14 июл. 2026 10:47:27,453  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 1] called delayUserInteraction: MessageClientAction[caption: lsFusion, msg: Изменения были удачно записаны..., type: LOG]
14 июл. 2026 10:47:27,453  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 1] called delayUserInteraction: lsfusion.interop.action.HideFormClientAction@69b97bf1
14 июл. 2026 10:47:27,453  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 1] called delayUserInteraction: lsfusion.interop.action.DestroyFormClientAction@711fce6
14 июл. 2026 10:47:27,454  INFO PausableInvocationsLogger - Invocation [f: Main.product, m: executeEventAction, rq: 1] finished
14 июл. 2026 10:47:27,454  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.product, m: executeEventAction, rq: 1] for request #1
14 июл. 2026 10:47:27,468  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.products, m: gainedFocus, rq: 4] for request #4
14 июл. 2026 10:47:27,469  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.products, m: gainedFocus, rq: 4] for request #4
14 июл. 2026 10:47:27,469  INFO PausableInvocationsLogger - Run invocation: [f: Main.products, m: gainedFocus, rq: 4]
